"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"03/09/2023,""4.9077"",""4.9103"",""4.9217"",""4.9061"","""",""0.00%"""
"03/08/2023,""4.9075"",""4.9190"",""4.9261"",""4.9042"","""",""-0.13%"""
"03/07/2023,""4.9138"",""4.9186"",""4.9295"",""4.9128"","""",""0.00%"""
"03/06/2023,""4.9140"",""4.9182"",""4.9339"",""4.9146"","""",""-0.11%"""
"03/03/2023,""4.9195"",""4.9235"",""4.9298"",""4.9152"","""",""0.01%"""
"03/02/2023,""4.9188"",""4.9192"",""4.9303"",""4.9156"","""",""0.07%"""
"03/01/2023,""4.9156"",""4.9255"",""4.9315"",""4.9069"","""",""-0.13%"""
"02/28/2023,""4.9221"",""4.9216"",""4.9302"",""4.9095"","""",""0.08%"""
"02/27/2023,""4.9183"",""4.9167"",""4.9282"",""4.9131"","""",""0.04%"""
"02/24/2023,""4.9161"",""4.9157"",""4.9268"",""4.9103"","""",""0.10%"""
"02/23/2023,""4.9113"",""4.9159"",""4.9238"",""4.9063"","""",""0.00%"""
"02/22/2023,""4.9112"",""4.9201"",""4.9303"",""4.8974"","""",""-0.11%"""
"02/21/2023,""4.9166"",""4.9162"",""4.9268"",""4.9131"","""",""0.10%"""
"02/20/2023,""4.9116"",""4.9064"",""4.9233"",""4.9051"","""",""0.14%"""
"02/17/2023,""4.9046"",""4.8999"",""4.9199"",""4.8935"","""",""0.21%"""
"02/16/2023,""4.8942"",""4.9007"",""4.9051"",""4.8932"","""",""-0.07%"""
"02/15/2023,""4.8975"",""4.8986"",""4.9063"",""4.8809"","""",""0.04%"""
"02/14/2023,""4.8956"",""4.8980"",""4.9106"",""4.8872"","""",""0.03%"""
"02/13/2023,""4.8940"",""4.8990"",""4.9078"",""4.8879"","""",""-0.03%"""
"02/10/2023,""4.8956"",""4.8908"",""4.9113"",""4.8867"","""",""0.19%"""
"02/09/2023,""4.8865"",""4.8952"",""4.9008"",""4.8811"","""",""-0.09%"""
"02/08/2023,""4.8908"",""4.8951"",""4.9041"",""4.8910"","""",""-0.02%"""
"02/07/2023,""4.8917"",""4.9000"",""4.9081"",""4.8918"","""",""-0.07%"""
"02/06/2023,""4.8953"",""4.8885"",""4.9198"",""4.8843"","""",""0.18%"""
"02/03/2023,""4.8865"",""4.9020"",""4.9127"",""4.8676"","""",""-0.26%"""
"02/02/2023,""4.8990"",""4.9089"",""4.9228"",""4.8917"","""",""-0.13%"""
"02/01/2023,""4.9052"",""4.9186"",""4.9241"",""4.9009"","""",""-0.21%"""
"01/31/2023,""4.9156"",""4.9120"",""4.9310"",""4.9099"","""",""0.20%"""
"01/30/2023,""4.9059"",""4.9010"",""4.9168"",""4.8927"","""",""0.24%"""
"01/27/2023,""4.8942"",""4.8765"",""4.9016"",""4.8731"","""",""0.46%"""
"01/26/2023,""4.8720"",""4.8984"",""4.9009"",""4.8716"","""",""-0.45%"""
"01/25/2023,""4.8941"",""4.9138"",""4.9202"",""4.8906"",""115.30K"",""-0.28%"""
"01/24/2023,""4.9077"",""4.9113"",""4.9236"",""4.9063"",""85.21K"",""-0.02%"""
"01/23/2023,""4.9087"",""4.9148"",""4.9346"",""4.9109"",""109.77K"",""0.00%"""
"01/20/2023,""4.9086"",""4.9226"",""4.9307"",""4.9096"",""118.93K"",""-0.17%"""
"01/19/2023,""4.9172"",""4.9366"",""4.9411"",""4.9186"",""151.36K"",""-0.31%"""
"01/18/2023,""4.9323"",""4.9348"",""4.9491"",""4.9289"",""155.91K"",""0.04%"""
"01/17/2023,""4.9304"",""4.9320"",""4.9424"",""4.9257"",""152.19K"",""0.09%"""
"01/16/2023,""4.9258"",""4.9461"",""4.9646"",""4.9257"",""105.15K"",""-0.29%"""
"01/13/2023,""4.9400"",""4.9407"",""4.9489"",""4.9370"",""143.81K"",""0.06%"""
"01/12/2023,""4.9370"",""4.9377"",""4.9588"",""4.9117"",""140.65K"",""0.07%"""
"01/11/2023,""4.9333"",""4.9352"",""4.9486"",""4.9226"",""131.68K"",""0.05%"""
"01/10/2023,""4.9308"",""4.9229"",""4.9405"",""4.9219"",""139.61K"",""0.20%"""
"01/09/2023,""4.9208"",""4.9246"",""4.9477"",""4.9179"",""132.29K"",""-0.09%"""
"01/06/2023,""4.9251"",""4.9265"",""4.9439"",""4.9229"",""132.79K"",""0.06%"""
"01/05/2023,""4.9221"",""4.9264"",""4.9347"",""4.9157"",""125.19K"",""-0.01%"""
"01/04/2023,""4.9225"",""4.9319"",""4.9391"",""4.9193"",""139.91K"",""-0.14%"""
"01/03/2023,""4.9294"",""4.9264"",""4.9449"",""4.9180"",""136.92K"",""0.19%"""
"01/02/2023,""4.9199"",""4.9436"",""4.9472"",""4.9202"",""27.78K"",""-0.41%"""
"12/30/2022,""4.9402"",""4.9483"",""4.9533"",""4.9390"",""104.51K"",""-0.10%"""
"12/29/2022,""4.9451"",""4.9426"",""4.9548"",""4.9369"",""98.74K"",""0.12%"""
"12/28/2022,""4.9392"",""4.9267"",""4.9517"",""4.9225"",""99.68K"",""0.35%"""
"12/27/2022,""4.9218"",""4.9236"",""4.9351"",""4.9005"",""106.55K"",""0.09%"""
"12/26/2022,""4.9176"",""4.9113"",""4.9240"",""4.9081"",""17.50K"",""0.17%"""
"12/23/2022,""4.9093"",""4.8970"",""4.9171"",""4.8929"",""138.23K"",""0.34%"""
"12/22/2022,""4.8926"",""4.8949"",""4.9043"",""4.8898"",""156.21K"",""0.06%"""
"12/21/2022,""4.8897"",""4.9092"",""4.9114"",""4.8880"",""141.89K"",""-0.30%"""
"12/20/2022,""4.9046"",""4.9081"",""4.9201"",""4.8949"",""178.36K"",""0.00%"""
"12/19/2022,""4.9044"",""4.9169"",""4.9265"",""4.9045"",""132.67K"",""-0.08%"""
"12/16/2022,""4.9084"",""4.9220"",""4.9276"",""4.9107"",""145.19K"",""-0.21%"""
"12/15/2022,""4.9185"",""4.9240"",""4.9303"",""4.9162"",""147.33K"",""-0.03%"""
"12/14/2022,""4.9201"",""4.9264"",""4.9365"",""4.9083"",""136.19K"",""-0.04%"""
"12/13/2022,""4.9221"",""4.9279"",""4.9587"",""4.9216"",""122.69K"",""-0.07%"""
"12/12/2022,""4.9256"",""4.9208"",""4.9356"",""4.9104"",""112.94K"",""0.15%"""
"12/09/2022,""4.9182"",""4.9170"",""4.9314"",""4.8969"",""117.39K"",""0.12%"""
"12/08/2022,""4.9122"",""4.9151"",""4.9248"",""4.9096"",""123.24K"",""0.02%"""
"12/07/2022,""4.9110"",""4.9146"",""4.9230"",""4.9028"",""144.86K"",""0.02%"""
"12/06/2022,""4.9099"",""4.9159"",""4.9256"",""4.9063"",""122.52K"",""-0.08%"""
"12/05/2022,""4.9139"",""4.9123"",""4.9446"",""4.9055"",""128.83K"",""-0.11%"""
"12/02/2022,""4.9191"",""4.9316"",""4.9363"",""4.9019"",""126.34K"",""-0.16%"""
"12/01/2022,""4.9271"",""4.9297"",""4.9395"",""4.9116"",""145.88K"",""0.04%"""
"11/30/2022,""4.9253"",""4.9185"",""4.9901"",""4.9134"",""127.24K"",""0.24%"""
"11/29/2022,""4.9136"",""4.9230"",""4.9287"",""4.9089"",""119.77K"",""-0.09%"""
"11/28/2022,""4.9181"",""4.9120"",""4.9318"",""4.9007"",""115.14K"",""0.07%"""
"11/25/2022,""4.9147"",""4.9194"",""4.9314"",""4.9040"",""108.91K"",""-0.02%"""
"11/24/2022,""4.9155"",""4.9370"",""4.9384"",""4.9147"",""119.56K"",""-0.33%"""
"11/23/2022,""4.9320"",""4.9328"",""4.9443"",""4.9295"",""126.29K"",""0.08%"""
"11/22/2022,""4.9282"",""4.9390"",""4.9441"",""4.9182"",""129.00K"",""-0.14%"""
"11/21/2022,""4.9350"",""4.9381"",""4.9486"",""4.9149"",""119.66K"",""-0.05%"""
"11/18/2022,""4.9376"",""4.9276"",""4.9465"",""4.9198"",""142.85K"",""0.29%"""
"11/17/2022,""4.9232"",""4.9199"",""4.9325"",""4.9144"",""155.66K"",""0.16%"""
"11/16/2022,""4.9155"",""4.9209"",""4.9276"",""4.9097"",""163.84K"",""-0.07%"""
"11/15/2022,""4.9189"",""4.9033"",""4.9363"",""4.8987"",""159.81K"",""0.39%"""
"11/14/2022,""4.8998"",""4.8994"",""4.9096"",""4.8667"",""146.65K"",""0.22%"""
"11/11/2022,""4.8890"",""4.8794"",""4.8991"",""4.8752"",""160.94K"",""0.29%"""
"11/10/2022,""4.8750"",""4.8941"",""4.9394"",""4.8740"",""174.90K"",""-0.31%"""
"11/09/2022,""4.8904"",""4.8983"",""4.9112"",""4.8767"",""159.69K"",""-0.07%"""
"11/08/2022,""4.8939"",""4.8890"",""4.9065"",""4.8854"",""140.94K"",""0.20%"""
"11/07/2022,""4.8841"",""4.8638"",""4.8927"",""4.8582"",""129.59K"",""-0.01%"""
"11/04/2022,""4.8846"",""4.9008"",""4.9083"",""4.8734"",""132.48K"",""-0.27%"""
"11/03/2022,""4.8977"",""4.9083"",""4.9099"",""4.8949"",""122.26K"",""-0.12%"""
"11/02/2022,""4.9038"",""4.9064"",""4.9373"",""4.8583"",""123.01K"",""0.02%"""
"11/01/2022,""4.9029"",""4.9095"",""4.9207"",""4.9033"",""95.79K"",""-0.11%"""
"10/31/2022,""4.9081"",""4.9142"",""4.9239"",""4.9067"",""93.19K"",""-0.21%"""
"10/28/2022,""4.9186"",""4.8973"",""4.9319"",""4.8918"",""124.47K"",""0.53%"""
"10/27/2022,""4.8925"",""4.8665"",""4.9053"",""4.8638"",""159.83K"",""0.61%"""
"10/26/2022,""4.8626"",""4.9008"",""4.9061"",""4.8624"",""127.54K"",""-0.66%"""
"10/25/2022,""4.8948"",""4.9116"",""4.9159"",""4.8955"",""120.32K"",""-0.26%"""
"10/24/2022,""4.9077"",""4.9160"",""4.9324"",""4.8951"",""130.34K"",""-0.04%"""
"10/21/2022,""4.9095"",""4.9183"",""4.9226"",""4.9016"",""135.30K"",""-0.05%"""
"10/20/2022,""4.9121"",""4.9210"",""4.9293"",""4.9142"",""137.94K"",""-0.09%"""
"10/19/2022,""4.9165"",""4.9312"",""4.9394"",""4.9169"",""133.49K"",""-0.24%"""
"10/18/2022,""4.9282"",""4.9346"",""4.9419"",""4.9286"",""147.38K"",""-0.06%"""
"10/17/2022,""4.9314"",""4.9338"",""4.9501"",""4.9311"",""128.32K"",""0.04%"""
"10/14/2022,""4.9293"",""4.9356"",""4.9423"",""4.9215"",""162.31K"",""-0.07%"""
"10/13/2022,""4.9326"",""4.9401"",""4.9476"",""4.9339"",""151.19K"",""-0.06%"""
"10/12/2022,""4.9355"",""4.9373"",""4.9453"",""4.9317"",""147.56K"",""0.08%"""
"10/11/2022,""4.9317"",""4.9377"",""4.9446"",""4.9323"",""188.26K"",""-0.04%"""
"10/10/2022,""4.9336"",""4.9372"",""4.9510"",""4.9278"",""146.66K"",""-0.05%"""
"10/07/2022,""4.9360"",""4.9384"",""4.9480"",""4.9212"",""133.55K"",""0.01%"""
"10/06/2022,""4.9354"",""4.9335"",""4.9436"",""4.9288"",""145.57K"",""0.13%"""
"10/05/2022,""4.9292"",""4.9405"",""4.9470"",""4.9297"",""147.62K"",""-0.10%"""
"10/04/2022,""4.9340"",""4.9491"",""4.9525"",""4.9352"",""146.75K"",""-0.20%"""
"10/03/2022,""4.9441"",""4.9491"",""4.9635"",""4.9408"",""146.22K"",""-0.02%"""
"09/30/2022,""4.9451"",""4.9493"",""4.9562"",""4.9328"",""143.56K"",""-0.02%"""
"09/29/2022,""4.9460"",""4.9482"",""4.9547"",""4.9417"",""148.68K"",""0.04%"""
"09/28/2022,""4.9439"",""4.9497"",""4.9604"",""4.9404"",""153.24K"",""-0.03%"""
"09/27/2022,""4.9452"",""4.9419"",""4.9516"",""4.9374"",""151.39K"",""0.17%"""
"09/26/2022,""4.9368"",""4.9390"",""4.9492"",""4.8959"",""153.23K"",""-0.02%"""
"09/23/2022,""4.9380"",""4.9415"",""4.9493"",""4.9316"",""147.74K"",""0.05%"""
"09/22/2022,""4.9355"",""4.9443"",""4.9524"",""4.9366"",""161.08K"",""-0.08%"""
"09/21/2022,""4.9393"",""4.9431"",""4.9538"",""4.9133"",""139.08K"",""0.02%"""
"09/20/2022,""4.9381"",""4.9287"",""4.9448"",""4.9254"",""121.69K"",""0.28%"""
"09/19/2022,""4.9242"",""4.9210"",""4.9352"",""4.9075"",""97.26K"",""0.10%"""
"09/16/2022,""4.9194"",""4.9234"",""4.9295"",""4.9179"",""123.21K"",""0.00%"""
"09/15/2022,""4.9194"",""4.9246"",""4.9307"",""4.9189"",""123.91K"",""-0.06%"""
"09/14/2022,""4.9225"",""4.9241"",""4.9346"",""4.9174"",""137.30K"",""0.08%"""
"09/13/2022,""4.9186"",""4.9127"",""4.9261"",""4.8921"",""134.03K"",""0.19%"""
"09/12/2022,""4.9091"",""4.9175"",""4.9247"",""4.8930"",""109.31K"",""0.30%"""
"09/09/2022,""4.8945"",""4.8800"",""4.9054"",""4.8684"",""122.49K"",""0.38%"""
"09/08/2022,""4.8761"",""4.8538"",""4.8876"",""4.8459"",""141.35K"",""0.54%"""
"09/07/2022,""4.8498"",""4.8445"",""4.8670"",""4.8408"",""140.64K"",""0.19%"""
"09/06/2022,""4.8405"",""4.8233"",""4.8591"",""4.8223"",""159.43K"",""0.44%"""
"09/05/2022,""4.8194"",""4.8105"",""4.8355"",""4.8015"",""112.91K"",""0.25%"""
"09/02/2022,""4.8075"",""4.8400"",""4.8446"",""4.8099"",""113.77K"",""-0.59%"""
"09/01/2022,""4.8361"",""4.8435"",""4.8582"",""4.8250"",""135.44K"",""-0.11%"""
"08/31/2022,""4.8414"",""4.8664"",""4.8696"",""4.8386"",""141.98K"",""-0.44%"""
"08/30/2022,""4.8629"",""4.8645"",""4.8719"",""4.8600"",""141.39K"",""0.03%"""
"08/29/2022,""4.8613"",""4.8787"",""4.8807"",""4.8475"",""96.91K"",""-0.06%"""
"08/26/2022,""4.8643"",""4.8723"",""4.8817"",""4.8642"",""109.65K"",""-0.04%"""
"08/25/2022,""4.8663"",""4.8615"",""4.8802"",""4.8609"",""133.95K"",""0.19%"""
"08/24/2022,""4.8570"",""4.8485"",""4.8875"",""4.8419"",""125.07K"",""0.27%"""
"08/23/2022,""4.8439"",""4.8815"",""4.8980"",""4.8416"",""139.73K"",""-0.68%"""
"08/22/2022,""4.8771"",""4.8833"",""4.8902"",""4.8745"",""121.23K"",""0.01%"""
"08/19/2022,""4.8768"",""4.8784"",""4.8878"",""4.8733"",""124.17K"",""0.01%"""
"08/18/2022,""4.8763"",""4.8811"",""4.8883"",""4.8758"",""133.12K"",""-0.04%"""
"08/17/2022,""4.8781"",""4.8810"",""4.8912"",""4.8759"",""143.39K"",""0.01%"""
"08/16/2022,""4.8775"",""4.8371"",""4.8928"",""4.8299"",""104.69K"",""0.95%"""
"08/15/2022,""4.8317"",""4.8861"",""4.8892"",""4.8335"",""65.03K"",""-0.99%"""
"08/12/2022,""4.8802"",""4.8947"",""4.9065"",""4.8773"",""136.58K"",""-0.24%"""
"08/11/2022,""4.8917"",""4.9055"",""4.9147"",""4.8951"",""140.97K"",""-0.20%"""
"08/10/2022,""4.9016"",""4.9028"",""4.9387"",""4.8996"",""142.53K"",""0.07%"""
"08/09/2022,""4.8981"",""4.9011"",""4.9151"",""4.8955"",""131.99K"",""0.04%"""
"08/08/2022,""4.8961"",""4.9225"",""4.9282"",""4.8912"",""112.39K"",""-0.50%"""
"08/05/2022,""4.9207"",""4.9264"",""4.9314"",""4.9063"",""132.02K"",""-0.05%"""
"08/04/2022,""4.9230"",""4.9236"",""4.9320"",""4.9213"",""128.36K"",""0.08%"""
"08/03/2022,""4.9191"",""4.9263"",""4.9319"",""4.9188"",""134.31K"",""-0.08%"""
"08/02/2022,""4.9228"",""4.9227"",""4.9348"",""4.9187"",""154.16K"",""0.08%"""
"08/01/2022,""4.9190"",""4.9251"",""4.9367"",""4.9170"",""126.94K"",""-0.05%"""
"07/29/2022,""4.9217"",""4.9332"",""4.9405"",""4.9244"",""126.50K"",""-0.14%"""
"07/28/2022,""4.9286"",""4.9286"",""4.9464"",""4.9133"",""152.80K"",""0.03%"""
"07/27/2022,""4.9272"",""4.9310"",""4.9395"",""4.9241"",""129.30K"",""0.02%"""
"07/26/2022,""4.9263"",""4.9313"",""4.9379"",""4.9244"",""131.41K"",""-0.05%"""
"07/25/2022,""4.9287"",""4.9324"",""4.9391"",""4.9172"",""116.50K"",""0.01%"""
"07/22/2022,""4.9280"",""4.9363"",""4.9423"",""4.9267"",""116.62K"",""-0.08%"""
"07/21/2022,""4.9321"",""4.9362"",""4.9613"",""4.9280"",""149.94K"",""0.02%"""
"07/20/2022,""4.9309"",""4.9405"",""4.9490"",""4.9335"",""140.51K"",""-0.11%"""
"07/19/2022,""4.9361"",""4.9381"",""4.9530"",""4.9323"",""130.34K"",""0.03%"""
"07/18/2022,""4.9346"",""4.9408"",""4.9535"",""4.9341"",""114.37K"",""-0.02%"""
"07/15/2022,""4.9356"",""4.9417"",""4.9535"",""4.9359"",""126.79K"",""-0.03%"""
"07/14/2022,""4.9372"",""4.9413"",""4.9576"",""4.9243"",""138.69K"",""0.00%"""
"07/13/2022,""4.9372"",""4.9437"",""4.9560"",""4.9216"",""124.72K"",""-0.05%"""
"07/12/2022,""4.9397"",""4.9403"",""4.9479"",""4.9356"",""125.38K"",""0.07%"""
"07/11/2022,""4.9363"",""4.9365"",""4.9485"",""4.9175"",""113.60K"",""-0.02%"""
"07/08/2022,""4.9375"",""4.9427"",""4.9490"",""4.9335"",""135.98K"",""-0.03%"""
"07/07/2022,""4.9390"",""4.9415"",""4.9513"",""4.9387"",""137.22K"",""0.02%"""
"07/06/2022,""4.9378"",""4.9452"",""4.9507"",""4.9378"",""137.15K"",""-0.05%"""
"07/05/2022,""4.9401"",""4.9445"",""4.9496"",""4.9391"",""138.65K"",""0.02%"""
"07/04/2022,""4.9393"",""4.9441"",""4.9542"",""4.9405"",""109.82K"",""-0.08%"""
"07/01/2022,""4.9435"",""4.9442"",""4.9534"",""4.9412"",""103.13K"",""0.08%"""
"06/30/2022,""4.9394"",""4.9430"",""4.9520"",""4.9397"",""126.86K"",""0.02%"""
"06/29/2022,""4.9386"",""4.9427"",""4.9573"",""4.9389"",""131.67K"",""-0.02%"""
"06/28/2022,""4.9396"",""4.9453"",""4.9503"",""4.9398"",""139.29K"",""-0.04%"""
"06/27/2022,""4.9414"",""4.9437"",""4.9502"",""4.9380"",""135.53K"",""0.03%"""
"06/24/2022,""4.9398"",""4.9465"",""4.9562"",""4.9411"",""125.52K"",""-0.08%"""
"06/23/2022,""4.9440"",""4.9465"",""4.9543"",""4.9380"",""148.48K"",""0.04%"""
"06/22/2022,""4.9421"",""4.9436"",""4.9525"",""4.9418"",""123.85K"",""0.06%"""
"06/21/2022,""4.9392"",""4.9448"",""4.9520"",""4.9412"",""132.04K"",""-0.07%"""
"06/20/2022,""4.9425"",""4.9342"",""4.9622"",""4.9342"",""117.98K"",""-0.01%"""
"06/17/2022,""4.9430"",""4.9430"",""4.9521"",""4.9407"",""127.23K"",""0.08%"""
"06/16/2022,""4.9391"",""4.9411"",""4.9518"",""4.9383"",""180.49K"",""0.06%"""
"06/15/2022,""4.9361"",""4.9426"",""4.9735"",""4.9191"",""139.02K"",""-0.06%"""
"06/14/2022,""4.9391"",""4.9419"",""4.9506"",""4.9380"",""117.75K"",""0.06%"""
"06/13/2022,""4.9361"",""4.9404"",""4.9540"",""4.9193"",""86.13K"",""-0.03%"""
"06/10/2022,""4.9376"",""4.9432"",""4.9495"",""4.9307"",""109.17K"",""-0.04%"""
"06/09/2022,""4.9394"",""4.9436"",""4.9559"",""4.9372"",""119.37K"",""0.01%"""
"06/08/2022,""4.9389"",""4.9439"",""4.9499"",""4.9397"",""94.20K"",""0.02%"""
"06/07/2022,""4.9381"",""4.9420"",""4.9484"",""4.9388"",""97.79K"",""0.00%"""
"06/06/2022,""4.9382"",""4.9440"",""4.9488"",""4.9377"",""80.46K"",""-0.02%"""
"06/03/2022,""4.9391"",""4.9411"",""4.9486"",""4.9341"",""68.85K"",""0.03%"""
"06/02/2022,""4.9376"",""4.9380"",""4.9463"",""4.9365"",""93.23K"",""0.05%"""
"06/01/2022,""4.9352"",""4.9425"",""4.9504"",""4.9365"",""85.79K"",""-0.10%"""
"05/31/2022,""4.9400"",""4.9436"",""4.9497"",""4.9369"",""109.43K"",""0.01%"""
"05/30/2022,""4.9395"",""4.9436"",""4.9552"",""4.9385"",""82.37K"",""0.07%"""
"05/27/2022,""4.9358"",""4.9405"",""4.9478"",""4.9385"",""100.37K"",""0.04%"""
"05/26/2022,""4.9339"",""4.9433"",""4.9468"",""4.9354"",""101.13K"",""-0.09%"""
"05/25/2022,""4.9381"",""4.9440"",""4.9479"",""4.9363"",""116.23K"",""-0.02%"""
"05/24/2022,""4.9391"",""4.9455"",""4.9546"",""4.9395"",""111.59K"",""-0.08%"""
"05/23/2022,""4.9429"",""4.9525"",""4.9636"",""4.9431"",""107.81K"",""-0.01%"""
"05/20/2022,""4.9435"",""4.9494"",""4.9528"",""4.9433"",""122.99K"",""-0.05%"""
"05/19/2022,""4.9459"",""4.9513"",""4.9535"",""4.9432"",""126.95K"",""-0.02%"""
"05/18/2022,""4.9467"",""4.9465"",""4.9526"",""4.9435"",""124.15K"",""0.05%"""
"05/17/2022,""4.9441"",""4.9460"",""4.9535"",""4.9432"",""126.49K"",""0.00%"""
"05/16/2022,""4.9441"",""4.9420"",""4.9514"",""4.9337"",""105.38K"",""0.05%"""
"05/13/2022,""4.9414"",""4.9463"",""4.9518"",""4.9413"",""126.22K"",""-0.04%"""
"05/12/2022,""4.9435"",""4.9479"",""4.9539"",""4.9399"",""157.91K"",""-0.01%"""
"05/11/2022,""4.9441"",""4.9464"",""4.9549"",""4.9304"",""157.31K"",""0.03%"""
"05/10/2022,""4.9424"",""4.9441"",""4.9514"",""4.9415"",""125.81K"",""0.04%"""
"05/09/2022,""4.9405"",""4.9507"",""4.9525"",""4.9249"",""108.66K"",""-0.14%"""
"05/06/2022,""4.9472"",""4.9478"",""4.9587"",""4.9420"",""130.78K"",""0.04%"""
"05/05/2022,""4.9451"",""4.9455"",""4.9541"",""4.9420"",""136.87K"",""0.06%"""
"05/04/2022,""4.9423"",""4.9446"",""4.9623"",""4.9387"",""115.28K"",""-0.01%"""
"05/03/2022,""4.9430"",""4.9455"",""4.9521"",""4.9425"",""115.68K"",""0.05%"""
"05/02/2022,""4.9407"",""4.9490"",""4.9525"",""4.9328"",""90.99K"",""-0.02%"""
"04/29/2022,""4.9419"",""4.9475"",""4.9542"",""4.9402"",""126.29K"",""-0.06%"""
"04/28/2022,""4.9450"",""4.9473"",""4.9552"",""4.9427"",""140.84K"",""0.03%"""
"04/27/2022,""4.9436"",""4.9458"",""4.9545"",""4.9415"",""137.55K"",""0.05%"""
"04/26/2022,""4.9411"",""4.9458"",""4.9507"",""4.9412"",""127.45K"",""-0.01%"""
"04/25/2022,""4.9414"",""4.9630"",""4.9634"",""4.9011"",""105.03K"",""0.07%"""
"04/22/2022,""4.9378"",""4.9435"",""4.9535"",""4.9398"",""99.78K"",""-0.03%"""
"04/21/2022,""4.9392"",""4.9437"",""4.9521"",""4.9372"",""130.07K"",""0.01%"""
"04/20/2022,""4.9385"",""4.9427"",""4.9488"",""4.9378"",""128.99K"",""0.00%"""
"04/19/2022,""4.9384"",""4.9390"",""4.9461"",""4.9352"",""120.65K"",""0.09%"""
"04/18/2022,""4.9342"",""4.9375"",""4.9456"",""4.9302"",""53.79K"",""-0.02%"""
"04/15/2022,""4.9352"",""4.9404"",""4.9488"",""4.9375"",""56.58K"",""-0.03%"""
"04/14/2022,""4.9369"",""4.9415"",""4.9517"",""4.9359"",""125.81K"",""0.03%"""
"04/13/2022,""4.9352"",""4.9402"",""4.9467"",""4.9365"",""117.94K"",""-0.02%"""
"04/12/2022,""4.9363"",""4.9394"",""4.9514"",""4.9356"",""96.53K"",""0.00%"""
"04/11/2022,""4.9363"",""4.9682"",""4.9756"",""4.9366"",""99.52K"",""-0.03%"""
"04/08/2022,""4.9379"",""4.9423"",""4.9465"",""4.9373"",""97.90K"",""0.01%"""
"04/07/2022,""4.9375"",""4.9390"",""4.9493"",""4.9348"",""101.71K"",""0.05%"""
"04/06/2022,""4.9352"",""4.9415"",""4.9492"",""4.9355"",""101.16K"",""-0.06%"""
"04/05/2022,""4.9384"",""4.9439"",""4.9481"",""4.9386"",""90.79K"",""-0.01%"""
"04/04/2022,""4.9391"",""4.9438"",""4.9513"",""4.9383"",""103.69K"",""-0.10%"""
"04/01/2022,""4.9440"",""4.9405"",""4.9520"",""4.9387"",""138.99K"",""0.14%"""
"03/31/2022,""4.9372"",""4.9475"",""4.9516"",""4.9380"",""124.61K"",""-0.13%"""
"03/30/2022,""4.9437"",""4.9472"",""4.9525"",""4.9409"",""128.22K"",""0.02%"""
"03/29/2022,""4.9429"",""4.9472"",""4.9562"",""4.9404"",""134.97K"",""0.05%"""
"03/28/2022,""4.9403"",""4.9517"",""4.9538"",""4.9341"",""100.54K"",""-0.10%"""
"03/25/2022,""4.9451"",""4.9486"",""4.9541"",""4.9444"",""84.95K"",""0.02%"""
"03/24/2022,""4.9442"",""4.9465"",""4.9556"",""4.9432"",""98.08K"",""0.01%"""
"03/23/2022,""4.9437"",""4.9416"",""4.9510"",""4.9402"",""107.51K"",""0.12%"""
"03/22/2022,""4.9378"",""4.9461"",""4.9517"",""4.9405"",""110.33K"",""-0.09%"""
"03/21/2022,""4.9421"",""4.9510"",""4.9527"",""4.9406"",""96.52K"",""-0.02%"""
"03/18/2022,""4.9431"",""4.9467"",""4.9530"",""4.9427"",""100.56K"",""0.01%"""
"03/17/2022,""4.9424"",""4.9436"",""4.9532"",""4.9380"",""124.13K"",""0.08%"""
"03/16/2022,""4.9385"",""4.9479"",""4.9547"",""4.9385"",""128.26K"",""-0.08%"""
"03/15/2022,""4.9427"",""4.9482"",""4.9549"",""4.9392"",""111.24K"",""-0.04%"""
"03/14/2022,""4.9448"",""4.9501"",""4.9651"",""4.9425"",""96.63K"",""0.01%"""
"03/11/2022,""4.9442"",""4.9474"",""4.9585"",""4.9431"",""135.19K"",""0.01%"""
"03/10/2022,""4.9436"",""4.9471"",""4.9629"",""4.9377"",""139.17K"",""-0.02%"""
"03/09/2022,""4.9448"",""4.9527"",""4.9588"",""4.9448"",""153.57K"",""-0.05%"""
"03/08/2022,""4.9475"",""4.9481"",""4.9559"",""4.9389"",""147.14K"",""0.08%"""
"03/07/2022,""4.9437"",""4.9590"",""4.9590"",""4.9050"",""140.66K"",""0.01%"""
"03/04/2022,""4.9434"",""4.9503"",""4.9571"",""4.9441"",""124.73K"",""-0.04%"""
"03/03/2022,""4.9455"",""4.9465"",""4.9552"",""4.9394"",""124.13K"",""0.02%"""
"03/02/2022,""4.9445"",""4.9493"",""4.9572"",""4.9395"",""129.73K"",""-0.01%"""
"03/01/2022,""4.9451"",""4.9496"",""4.9553"",""4.9432"",""137.50K"",""0.01%"""
"02/28/2022,""4.9448"",""4.9071"",""4.9539"",""4.8821"",""127.66K"",""0.04%"""
"02/25/2022,""4.9428"",""4.9499"",""4.9570"",""4.9430"",""120.31K"",""-0.07%"""
"02/24/2022,""4.9461"",""4.9481"",""4.9557"",""4.9430"",""147.27K"",""0.05%"""
"02/23/2022,""4.9437"",""4.9460"",""4.9501"",""4.9421"",""103.66K"",""0.08%"""
"02/22/2022,""4.9397"",""4.9467"",""4.9511"",""4.9415"",""127.30K"",""-0.05%"""
"02/21/2022,""4.9424"",""4.9406"",""4.9640"",""4.9386"",""89.81K"",""0.05%"""
